ID,flower.no,petal_length,mainland_island,island_group,galapagos_island,galapagos_Other,finch_beak,year_collected,continent,country,province.state,location,latitude,longitude,scale,Herbarium,collection.date,collector,collection.no,Coordinate.notes,Measurer_note
846898,2,10.978,island,Marie Galante,,no,,1895,North America,Guadeloupe,,,15.923992,-61.257225,21.2568,Smithsonian,,"Duss, Père A.",3645,,NA
1557881,1,16.182,island,Marie Galante,,no,,1935,North America,Guadeloupe,,momes et tables de witoval de marie-galante,15.923992,-61.257225,21.2513,Smithsonian,22-Jan-35,"Stehlé, H.",149,,NA
1557881,2,14.563,island,Marie Galante,,no,,1935,North America,Guadeloupe,,momes et tables de witoval de marie-galante,15.923992,-61.257225,21.2513,Smithsonian,22-Jan-35,"Stehlé, H.",149,,NA
1781684,1,18.226,island,Marie Galante,,no,,1939,North America,Guadeloupe,,,15.923992,-61.257225,21.2513,Smithsonian,9-Dec-39,"Questel, A.",1462,,NA
225,1,14.505,mainland,,,,,1905,North America,Guatemala,Dept. Zacapa,Gualán ,15.1218026,-89.355197,18.2528,HUH,18-Jan,Chas C. Deam,225,,
225,2,11.471,mainland,,,,,1905,North America,Guatemala,Dept. Zacapa,Gualán ,15.1218026,-89.355197,18.2528,HUH,18-Jan,Chas C. Deam,225,,
225,3,10.703,mainland,,,,,1905,North America,Guatemala,Dept. Zacapa,Gualán ,15.1218026,-89.355197,18.2528,HUH,18-Jan,Chas C. Deam,225,,
1301,1,16.049,mainland,,,,,1963,North America,Guatemala,Dept. Zacapa,Common along road between Central Park and railroad station,14.9733652,-89.5321439,18.2528,HUH,23-Nov,Duncan M. Porter,,Coordinates for Central Park,
1301,2,13.888,mainland,,,,,1963,North America,Guatemala,Dept. Zacapa,Common along road between Central Park and railroad station,14.9733652,-89.5321439,18.2528,HUH,23-Nov,Duncan M. Porter,,Coordinates for Central Park,
1301,3,15.078,mainland,,,,,1963,North America,Guatemala,Dept. Zacapa,Common along road between Central Park and railroad station,14.9733652,-89.5321439,18.2528,HUH,23-Nov,Duncan M. Porter,,Coordinates for Central Park,
1305,1,15.135,mainland,,,,,1963,North America,Guatemala,Dept. Zacapa,"Entrance to military post at bridge over river, 1.5km SW of Zacapa",14.969642,-89.5337343,18.2528,HUH,26-Nov,Duncan M. Porter,,Coordinates for Zacapa,
1305,2,14.287,mainland,,,,,1963,North America,Guatemala,Dept. Zacapa,"Entrance to military post at bridge over river, 1.5km SW of Zacapa",14.969642,-89.5337343,18.2528,HUH,26-Nov,Duncan M. Porter,,Coordinates for Zacapa,
6350,1,19.282,mainland,,,,,1909,North America,Guatemala,Dept. Zacapa,Along railroad,14.969642,-89.5337343,18.2528,HUH,19-Jun,Chas C. Deam,6350,,
6350,2,16.942,mainland,,,,,1909,North America,Guatemala,Dept. Zacapa,Along railroad,14.969642,-89.5337343,18.2528,HUH,19-Jun,Chas C. Deam,6350,,
6350,3,20.167,mainland,,,,,1909,North America,Guatemala,Dept. Zacapa,Along railroad,14.969642,-89.5337343,18.2528,HUH,19-Jun,Chas C. Deam,6350,,
24368,1,11.951,mainland,,,,,1922,North America,Guatemala,Dept. Izabal,Vicinity of Los Amates,15.2548322,-89.0977907,18.2528,HUH,24-May,Paul C. Standle,24368,,
578754,1,16.488,mainland,,,,,1905,North America,Guatemala,Zacapa,"Gualan, Depart. Zacapa.",15.119909,-89.356007,21.2543,Smithsonian,5-Jan-05,"Kellerman, W. A.",5701,,NA
578754,2,13.51,mainland,,,,,1905,North America,Guatemala,Zacapa,"Gualan, Depart. Zacapa.",15.119909,-89.356007,21.2543,Smithsonian,5-Jan-05,"Kellerman, W. A.",5701,,NA
579634,1,15.909,mainland,,,,,1909,North America,Guatemala,Zacapa,Along railroad.,14.968,-89.544551,21.2485,Smithsonian,19-Jun-09,"Deam, C. C.",6350,,NA
579634,2,16.497,mainland,,,,,1909,North America,Guatemala,Zacapa,Along railroad.,14.968,-89.544551,21.2485,Smithsonian,19-Jun-09,"Deam, C. C.",6350,,NA
579634,3,15.071,mainland,,,,,1909,North America,Guatemala,Zacapa,Along railroad.,14.968,-89.544551,21.2485,Smithsonian,19-Jun-09,"Deam, C. C.",6350,,NA
1150010,1,13.422,mainland,,,,,1922,North America,Guatemala,Izabal,"Vicinity of Los Amates, Departamento de Izabal, on sand bars along the Rio Motagua.",15.163074,-89.067509,21.2513,Smithsonian,24-May-22,"Standley, P. C.",24368,,NA
2442210,1,15.917,mainland,,,,,1908,North America,Guatemala,Zacapa,Depart. Zacapa.,14.968563,-89.531417,21.2513,Smithsonian,1-Jan-08,"Kellerman, W. A.",7945,,NA
2619227,1,15.696,mainland,,,,,1969,North America,Guatemala,Chiquimula,"Both sides along highway between Chiquimula and Sta. Rosalia, Department Chiquimula.",14.824173,-89.5238,21.2513,Smithsonian,5-Dec-69,"Molina R., A.; Molina, A. R.",25130,,NA
2619227,2,15.446,mainland,,,,,1969,North America,Guatemala,Chiquimula,"Both sides along highway between Chiquimula and Sta. Rosalia, Department Chiquimula.",14.824173,-89.5238,21.2513,Smithsonian,5-Dec-69,"Molina R., A.; Molina, A. R.",25130,,NA
2619231,1,14.866,mainland,,,,,1969,North America,Guatemala,El Progreso,Edge of highway to Zanarate. Department Progreso.,14.368063,-89.852937,21.2513,Smithsonian,28-Nov-69,"Molina R., A.; Molina, A. R.",24966,,NA
2619231,2,17.94,mainland,,,,,1969,North America,Guatemala,El Progreso,Edge of highway to Zanarate. Department Progreso.,14.368063,-89.852937,21.2513,Smithsonian,28-Nov-69,"Molina R., A.; Molina, A. R.",24966,,NA
2707653,1,15.789,mainland,,,,,1972,North America,Guatemala,Zacapa,"Sierra de las Minas 5-10 km. north of Rio Hondo, Dept. Zacapa.",15.060826,-89.586364,21.2513,Smithsonian,31-Dec-72,"Williams, L. O.; Molina R., A.; Williams, T. P.",41835,,NA
2707653,2,14.361,mainland,,,,,1972,North America,Guatemala,Zacapa,"Sierra de las Minas 5-10 km. north of Rio Hondo, Dept. Zacapa.",15.060826,-89.586364,21.2513,Smithsonian,31-Dec-72,"Williams, L. O.; Molina R., A.; Williams, T. P.",41835,,NA
2734873,1,17.188,mainland,,,,,1971,North America,Guatemala,Zacapa,"Plantation of Palmillas, vicinity of Teculutan, Dept. Zacapa.",14.960482,-89.751683,21.2513,Smithsonian,19-Nov-71,"Molina R., A.; Molina, A. R.",27152,,NA
2734873,2,14.48,mainland,,,,,1971,North America,Guatemala,Zacapa,"Plantation of Palmillas, vicinity of Teculutan, Dept. Zacapa.",14.960482,-89.751683,21.2513,Smithsonian,19-Nov-71,"Molina R., A.; Molina, A. R.",27152,,NA
2748936,1,24.17,mainland,,,,,1971,North America,Guatemala,Zacapa,Vicinity of Estanzuela. Dept. Zacapa.,14.996046,-89.57456,21.2513,Smithsonian,25-Sep-71,"Molina R., A.; Molina, A. R.",26722,,NA
2748936,2,18.745,mainland,,,,,1971,North America,Guatemala,Zacapa,Vicinity of Estanzuela. Dept. Zacapa.,14.996046,-89.57456,21.2513,Smithsonian,25-Sep-71,"Molina R., A.; Molina, A. R.",26722,,NA
09.15.43 73,1,17.967,mainland,,,,,1993,North America,Guatemala,Dept. Zacapa,Between Teculután and Rio Hondo on the edge of the road.,15.0055634,-89.6278001,18.2528,HUH,7-Aug,"J.J Castillo, Ernesto Medinilla",,Coordinates estimated based on between two locations ,only flower
3539,1,17.227,island,Greater Antilles,,no,,1920,North America,Haiti,,"In the vicinity of Étang Saumâtre (lake), abundant in dry sandy soil",18.5672752,-71.968834,18.2528,HUH,4-Apr,E.C Leonard,3539,,
3539,2,13.755,island,Greater Antilles,,no,,1920,North America,Haiti,,"In the vicinity of Étang Saumâtre (lake), abundant in dry sandy soil",18.5672752,-71.968834,18.2528,HUH,4-Apr,E.C Leonard,3539,,
794283,1,17.501,island,Hispaniola,,no,,1917,North America,Haiti,Ouest,Port au Prince.,18.587485,-72.292702,21.2559,Smithsonian,17-Aug-17,"Cook, O. F.; Scofield, C. S.; Doyle, C. B.",1,,NA
794283,2,16.607,island,Hispaniola,,no,,1917,North America,Haiti,Ouest,Port au Prince.,18.587485,-72.292702,21.2559,Smithsonian,17-Aug-17,"Cook, O. F.; Scofield, C. S.; Doyle, C. B.",1,,NA
1075012,1,21.18,island,Hispaniola,,no,,1920,North America,Haiti,,Vicinity of Port au Prince.,18.587485,-72.292702,21.2513,Smithsonian,21 Feb 1920 to 23 Feb 1920,"Leonard, E. C.",2766,,NA
1148317,1,25.739,island,Hispaniola,,no,,1925,North America,Haiti,,Mon Repos.,18.545491,-72.403019,21.2513,Smithsonian,6-Mar-25,"Miller, G. S.",248,,NA
1167737,1,18.522,island,Hispaniola,,no,,1923,North America,Haiti,,Port au Prince.,18.587485,-72.292702,21.2513,Smithsonian,12-Mar-23,"Piper, C. V.",6014,,NA
1167737,2,17.842,island,Hispaniola,,no,,1923,North America,Haiti,,Port au Prince.,18.587485,-72.292702,21.2513,Smithsonian,12-Mar-23,"Piper, C. V.",6014,,NA
1302171,1,20.853,island,Hispaniola,,no,,1925,North America,Haiti,,"Petite Riviere, Artibonite River Plain.",19.123031,-72.477861,21.2513,Smithsonian,Mar,"Sweet, A. T.",49,,NA
1302171,2,17.488,island,Hispaniola,,no,,1925,North America,Haiti,,"Petite Riviere, Artibonite River Plain.",19.123031,-72.477861,21.2513,Smithsonian,A+I149,"Sweet, A. T.",49,,NA
1303628,1,25.058,island,Hispaniola,,no,,1927,North America,Haiti,,Miragoane and vicinity.,18.440774,-73.085566,21.2513,Smithsonian,20-Sep-27,"Eyerdam, W. J.",581,,NA
1303628,2,27.339,island,Hispaniola,,no,,1927,North America,Haiti,,Miragoane and vicinity.,18.440774,-73.085566,21.2513,Smithsonian,20-Sep-27,"Eyerdam, W. J.",581,,NA
1303628,3,23.164,island,Hispaniola,,no,,1927,North America,Haiti,,Miragoane and vicinity.,18.440774,-73.085566,21.2513,Smithsonian,20-Sep-27,"Eyerdam, W. J.",581,,NA
1450165,1,24.445,island,Hispaniola,,no,,1928,North America,Haiti,,Vicinity of Port de Paix. Beach east of City.,19.951505,-72.8197,21.2513,Smithsonian,25-Dec-28,"Leonard, E. C.; Leonard, G. M.",11174,,NA
1450165,2,23.484,island,Hispaniola,,no,,1928,North America,Haiti,,Vicinity of Port de Paix. Beach east of City.,19.951505,-72.8197,21.2513,Smithsonian,25-Dec-28,"Leonard, E. C.; Leonard, G. M.",11174,,NA
1450165,3,16.853,island,Hispaniola,,no,,1928,North America,Haiti,,Vicinity of Port de Paix. Beach east of City.,19.951505,-72.8197,21.2513,Smithsonian,25-Dec-28,"Leonard, E. C.; Leonard, G. M.",11174,,NA
1450803,1,15.187,island,Hispaniola,,no,,1929,North America,Haiti,,"Vicinity of Cabaret, Baie des Moustiques. Sandy beach west of Cabaret.",18.724922,-72.450138,21.2513,Smithsonian,13-Jan-29,"Leonard, E. C.; Leonard, G. M.",11939,,NA
1450803,2,15.297,island,Hispaniola,,no,,1929,North America,Haiti,,"Vicinity of Cabaret, Baie des Moustiques. Sandy beach west of Cabaret.",18.724922,-72.450138,21.2513,Smithsonian,13-Jan-29,"Leonard, E. C.; Leonard, G. M.",11939,,NA
1450896,1,13.942,island,Hispaniola,,no,,1929,North America,Haiti,,"Vicinity of Cabaret, Baie des Moustiques. Beach west of Cabaret.",18.724922,-72.450138,21.2513,Smithsonian,15-Jan-29,"Leonard, E. C.; Leonard, G. M.",12046,,NA
1450896,2,16.3,island,Hispaniola,,no,,1929,North America,Haiti,,"Vicinity of Cabaret, Baie des Moustiques. Beach west of Cabaret.",18.724922,-72.450138,21.2513,Smithsonian,15-Jan-29,"Leonard, E. C.; Leonard, G. M.",12046,,NA
1450896,3,9.434,island,Hispaniola,,no,,1929,North America,Haiti,,"Vicinity of Cabaret, Baie des Moustiques. Beach west of Cabaret.",18.724922,-72.450138,21.2513,Smithsonian,15-Jan-29,"Leonard, E. C.; Leonard, G. M.",12046,,NA
1880219,1,12.975,island,Hispaniola,,no,,1941,North America,Haiti,,Near Ganthier.,18.531791,-72.065349,21.2513,Smithsonian,15-Oct-41,"Holdridge, L. R.",841,,NA
1880219,2,18.193,island,Hispaniola,,no,,1941,North America,Haiti,,Near Ganthier.,18.531791,-72.065349,21.2513,Smithsonian,15-Oct-41,"Holdridge, L. R.",841,,NA
1880219,3,14.522,island,Hispaniola,,no,,1941,North America,Haiti,,Near Ganthier.,18.531791,-72.065349,21.2513,Smithsonian,15-Oct-41,"Holdridge, L. R.",841,,NA
3580278,1,15.774,island,Hispaniola,,no,,1988,North America,Haiti,Nord,"Ducroix, near Cap-Hatien",19.782524,-72.215377,21.2513,Smithsonian,3-May-88,"Chandler, H. P.",32,,NA
3580278,2,14.903,island,Hispaniola,,no,,1988,North America,Haiti,Nord,"Ducroix, near Cap-Hatien",19.782524,-72.215377,21.2513,Smithsonian,3-May-88,"Chandler, H. P.",32,,NA
09.22.44 144,1,20.383,island,Greater Antilles,,no,,1926,North America,Haiti,,"Jacmel, in the streets",18.2374646,-72.530385,18.2528,HUH,29-Sep,E.L Ekman,,,
09.22.44 144,2,21.594,island,Greater Antilles,,no,,1926,North America,Haiti,,"Jacmel, in the streets",18.2374646,-72.530385,18.2528,HUH,29-Sep,E.L Ekman,,,
09.22.48 145,1,21.896,island,Greater Antilles,,no,,1926,North America,Haiti,,"Jacmel, in the streets",18.2374646,-72.530385,18.2528,HUH,29-Sep,E.L Ekman,,,
09.22.48 145,2,24.177,island,Greater Antilles,,no,,1926,North America,Haiti,,"Jacmel, in the streets",18.2374646,-72.530385,18.2528,HUH,29-Sep,E.L Ekman,,,
30,1,22.109,island,West Indies,,no,,1900,North America,Jamaica,Kingston,Vicinity of Kingston,18.0179363,-76.8006563,18.2528,HUH,29-Jan,Willard N. Clute,30,,
30,2,20.119,island,Jamaica,,no,,1900,North America,Jamaica,Kingston,Vicinity of Kingston,18.0179363,-76.8006563,18.2528,HUH,29-Jan,Willard N. Clute,30,,
73,1,17.075,island,West Indies,,no,,NA,North America,Jamaica,Kingston,Kingston (city),18.0179363,-76.8006563,18.2528,HUH,,,73,,
304,1,10.973,island,West Indies,,no,,1966,North America,Jamaica,,Kingston,18.0179363,-76.8006563,18.2528,HUH,23-Jan,James. W Walker,304,,
304,2,11.838,island,,,no,,1966,North America,Jamaica,,Kingston,18.0179363,-76.8006563,18.2528,HUH,23-Jan,James. W Walker,304,,
304,3,10.381,island,West Indies,,no,,1966,North America,Jamaica,,Kingston,18.0179363,-76.8006563,18.2528,HUH,23-Jan,James. W Walker,304,,
953,1,20.697,island,West Indies,,no,,1963,North America,Jamaica,Kingston,"University college of the West Indies campus, Mona, Kingston",18.0123433,-76.7480947,18.2528,HUH,2-Aug,L. Wynter,,,
953,2,16.718,island,West Indies,,no,,1963,North America,Jamaica,Kingston,"University college of the West Indies campus, Mona, Kingston",18.0123433,-76.7480947,18.2528,HUH,2-Aug,L. Wynter,,,
953,3,19.654,island,West Indies,,no,,1963,North America,Jamaica,Kingston,"University college of the West Indies campus, Mona, Kingston",18.0123433,-76.7480947,18.2528,HUH,2-Aug,L. Wynter,,,
954,1,22.709,island,West Indies,,no,,1963,North America,Jamaica,St. Andrew,Road to Port Royal at round-about at Palisadoes airport,17.9375649,-76.7789935,18.2528,HUH,2-Aug,Duncan M. Porter,954,Coordinates for airport,
954,2,17.024,island,West Indies,,no,,1963,North America,Jamaica,St. Andrew,Road to Port Royal at round-about at Palisadoes airport,17.9375649,-76.7789935,18.2528,HUH,2-Aug,Duncan M. Porter,954,Coordinates for airport,
954,3,15.468,island,West Indies,,no,,1963,North America,Jamaica,St. Andrew,Road to Port Royal at round-about at Palisadoes airport,17.9375649,-76.7789935,18.2528,HUH,2-Aug,Duncan M. Porter,954,Coordinates for airport,
968,1,22.248,island,West Indies,,no,,1963,North America,Jamaica,St. Andrew,"End of Wycliffe Close, Long Mountain, trialing on limestone outcrop. ",18.010011,-76.767014,18.2528,HUH,5-Aug,Duncan M. Porter,,,
968,2,21.322,island,West Indies,,no,,1963,North America,Jamaica,St. Andrew,"End of Wycliffe Close, Long Mountain, trialing on limestone outcrop. ",18.010011,-76.767014,18.2528,HUH,5-Aug,Duncan M. Porter,,,
1024,1,18.557,island,West Indies,,no,,1963,North America,Jamaica,St. Catherine,Spanish Town road at turn off to Caymanas Park,17.9907399,-76.87642,18.2528,HUH,11-Aug,Duncan M. Porter,1024,Caymanas Park,
1028,1,17.045,island,West Indies,,no,,1963,North America,Jamaica,St. Catherine,Green Bay: growing in doorway of abandoned house on the beach,17.932815,-76.8762122,18.2528,HUH,11-Aug,Duncan M. Porter,,Coordinates for Dream Beach (beach adjacent to Green Bay),
1028,2,16.852,island,West Indies,,no,,1963,North America,Jamaica,St. Catherine,Green Bay: growing in doorway of abandoned house on the beach,17.932815,-76.8762122,18.2528,HUH,11-Aug,Duncan M. Porter,,Coordinates for Dream Beach (beach adjacent to Green Bay),
1033,1,11.179,island,West Indies,,no,,1963,North America,Jamaica,St. Catherine,Growing in middle of the road between Fort Clarence and Port Henderson,17.9081451,-76.8869731,18.2528,HUH,11-Aug,Duncan M. Porter,,Coordiantes for Fort Clarence (Port Henderson is a body of water),only flower
1037,1,17.719,island,West Indies,,no,,1963,North America,Jamaica,St. Andrew,"Grounds of St. Benedict's school, E of Harbour View. Prostrate at edge of driveway. ",17.95009,-76.706902,18.2528,HUH,13-Aug,Duncan M. Porter,1037,,
1040,1,25.333,island,west indies,,no,,1963,North America,Jamaica,Claredon,Claredon Parish: roadside at edge of sugarcane plantings half way between Amity Hall and Portland Cottage,NA,NA,18.2528,HUH,14-Aug,Duncan M. Porter,,Coordinates for Kaya Pos di Amor,
1040,2,15.981,island,west indies,,no,,1963,North America,Jamaica,Claredon,Claredon Parish: roadside at edge of sugarcane plantings half way between Amity Hall and Portland Cottage,NA,NA,18.2528,HUH,14-Aug,Duncan M. Porter,,Coordinates for Kaya Pos di Amor,
11967,1,17.758,island,West Indies,,no,,1915,North America,Jamaica,Kingston,"Along roadsides and in open places, near Kingston",18.0179363,-76.8006563,18.2528,HUH,5-Jan,W.M Harris,11967,,
11967,2,17.986,island,West Indies,,no,,1915,North America,Jamaica,Kingston,"Along roadsides and in open places, near Kingston",18.0179363,-76.8006563,18.2528,HUH,5-Jan,W.M Harris,11967,,
11967,3,17.828,island,West Indies,,no,,1915,North America,Jamaica,Kingston,"Along roadsides and in open places, near Kingston",18.0179363,-76.8006563,18.2528,HUH,5-Jan,W.M Harris,11967,,
38561,1,19.048,island,West Indies,,no,,1968,North America,Jamaica,St. Thomas ,"Grant's Pass, St.Thomas Parish",17.9671245,-76.4226875,18.2528,HUH,25-Jun,"Fred A. Barkley, Guy R. Beuthillette ",38651,"Can't find anywhere in Jamaica called Grant's pass, so coordinates are just for the parish. There's a Grants Pen?",
38561,2,17.092,island,West Indies,,no,,1968,North America,Jamaica,St. Thomas ,"Grant's Pass, St.Thomas Parish",17.9671245,-76.4226875,18.2528,HUH,25-Jun,"Fred A. Barkley, Guy R. Beuthillette ",38651,"Can't find anywhere in Jamaica called Grant's pass, so coordinates are just for the parish. There's a Grants Pen?",
38561,3,19.785,island,West Indies,,no,,1968,North America,Jamaica,St. Thomas ,"Grant's Pass, St.Thomas Parish",17.9671245,-76.4226875,18.2528,HUH,25-Jun,"Fred A. Barkley, Guy R. Beuthillette ",38651,"Can't find anywhere in Jamaica called Grant's pass, so coordinates are just for the parish. There's a Grants Pen?",
349332,1,22.786,island,Jamaica,,no,,1900,North America,Jamaica,Kingston,Kingston,18.025287,-76.79685,21.2518,Smithsonian,29 Jan  to 4 Feb,"Clute, W. N.",30,,NA
349332,2,20.748,island,Jamaica,,no,,1900,North America,Jamaica,Kingston,Kingston,18.025287,-76.79685,21.2518,Smithsonian,29 Jan  to 4 Feb ,"Clute, W. N.",30,,NA
965925,1,24.027,island,Jamaica,,no,,1900,North America,Jamaica,Kingston,,18.025287,-76.79685,21.2513,Smithsonian,29 Jan 1900 to 4 Feb 1900,"Clute, W. N.",4716,,NA
965925,2,18.101,island,Jamaica,,no,,1900,North America,Jamaica,Kingston,,18.025287,-76.79685,21.2513,Smithsonian,29 Jan 1900 to 4 Feb 1900,"Clute, W. N.",4716,,NA
1045104,1,14.657,island,West Indies,,no,,1916,North America,Jamaica,Kingston,,18.025287,-76.79685,21.2513,Smithsonian,2-Mar-16,"Killip, E. P.",338,,NA
1045104,2,14.148,island,Jamaica,,no,,1916,North America,Jamaica,Kingston,,18.025287,-76.79685,21.2513,Smithsonian,2-Mar-16,"Killip, E. P.",338,,NA
1380056,1,14.295,island,West Indies,,no,,1881,North America,Jamaica,Kingston,an weg- saudern,18.025287,-76.79685,21.2513,Smithsonian,Jul 1881,"Lehmann, F. C.",713,,NA
1380056,2,15.447,island,West Indies,,no,,1881,North America,Jamaica,Kingston,an weg- saudern,18.025287,-76.79685,21.2513,Smithsonian,Jul 1881,"Lehmann, F. C.",713,,NA
1380056,3,16.823,island,Jamaica,,no,,1881,North America,Jamaica,Kingston,an weg- saudern,18.025287,-76.79685,21.2513,Smithsonian,Jul 1881,"Lehmann, F. C.",713,,NA
2351654,1,19.112,island,Jamaica,,no,,1959,North America,Jamaica,Kingston,"abundant, creeping on sand near airport, Palisadoes",17.944489,-76.7522,21.2513,Smithsonian,14-Jun-59,"Ellis, J.; Miller, K.",8235,,NA
2351654,2,20.549,island,Jamaica,,no,,1959,North America,Jamaica,Kingston,"abundant, creeping on sand near airport, Palisadoes",17.944489,-76.7522,21.2513,Smithsonian,14-Jun-59,"Ellis, J.; Miller, K.",8235,,NA
09.17.26 89,1,14.239,island,West Indies,,no,,1897,North America,Jamaica,Kingston,Kingston (capital),18.0179363,-76.8006563,18.2528,HUH,10-Mar,J. R Churchill,,,
09.17.26 89,2,12.501,island,West Indies,,no,,1897,North America,Jamaica,Kingston,Kingston (capital),18.0179363,-76.8006563,18.2528,HUH,10-Mar,J. R Churchill,,,
09.17.26 89,3,11.144,island,West Indies,,no,,1897,North America,Jamaica,Kingston,Kingston (capital),18.0179363,-76.8006563,18.2528,HUH,10-Mar,J. R Churchill,,,
09.20.52 127,1,16.88,island,West Indies,,no,,NA,North America,Jamaica,Kingston,Kingston (city),18.0179363,-76.8006563,18.2528,HUH,,,,,has the same number as another image from same place?- used file name instead
09.20.52 127,2,18.716,island,West Indies,,no,,NA,North America,Jamaica,Kingston,Kingston (city),18.0179363,-76.8006563,18.2528,HUH,,,,,
09.21.16 132,1,19.557,island,West Indies,,no,,NA,North America,Jamaica,Kingston,Kingston (city),18.0179363,-76.8006563,18.2528,HUH,,Nathaniel Thayer Kidder,,,
09.21.16 132,2,12.795,island,West Indies,,no,,NA,North America,Jamaica,Kingston,Kingston (city),18.0179363,-76.8006563,18.2528,HUH,,Nathaniel Thayer Kidder,,,
09.21.16 132,3,19.426,island,West Indies,,no,,NA,North America,Jamaica,Kingston,Kingston (city),18.0179363,-76.8006563,18.2528,HUH,,Nathaniel Thayer Kidder,,,
68A,1,21.298,island,West Indies,,no,,1963,North America,Jamaica,Kingston,"In lawns and weedy areas, University of West Indies campus ",18.0123433,-76.7480947,18.2528,HUH,5-Jun,"M.R Crosby, W.R Anderson, H.A Hespenheide",68A,,
68A,2,16.416,island,West Indies,,no,,1963,North America,Jamaica,Kingston,"In lawns and weedy areas, University of West Indies campus ",18.0123433,-76.7480947,18.2528,HUH,5-Jun,"M.R Crosby, W.R Anderson, H.A Hespenheide",68A,,
68A,3,23.75,island,West Indies,,no,,1963,North America,Jamaica,Kingston,"In lawns and weedy areas, University of West Indies campus ",18.0123433,-76.7480947,18.2528,HUH,5-Jun,"M.R Crosby, W.R Anderson, H.A Hespenheide",68A,,
849725,1,11.272,island,Martinique,,no,,1877,North America,Martinique,,,14.671124,-61.022058,21.2535,Smithsonian,,"Duss, Père A.",1815,,NA
37,1,12.619,mainland,,,,,1896,North America,Mexico,Yucatan,,21.082487,-89.9297226,18.2528,HUH,,Sr. Porfirio Valdez,37,Further location not specified,only flower
44,1,10.388,mainland,,,,,1888,North America,Mexico,Oaxaca,,NA,NA,18.2571,HUH,,Ed. Seler,44,,
44,2,10.884,mainland,,,,,1888,North America,Mexico,Oaxaca,,NA,NA,18.2571,HUH,,Ed. Seler,44,,
44,3,12.944,mainland,,,,,1888,North America,Mexico,Oaxaca,,NA,NA,18.2571,HUH,,Ed. Seler,44,,
66,1,14.258,mainland,,,,,1998,North America,Mexico,Oaxaca,Tehuantepec ,16.3206389,-95.2401905,18.2533,HUH,23-Dec,C. Dean,66,,
66,2,16.901,mainland,,,,,1998,North America,Mexico,Oaxaca,Tehuantepec ,16.3206389,-95.2401905,18.2533,HUH,23-Dec,C. Dean,66,,
66,3,12.659,mainland,,,,,1998,North America,Mexico,Oaxaca,Tehuantepec ,16.3206389,-95.2401905,18.2533,HUH,23-Dec,C. Dean,66,,
106,1,21.009,mainland,,,,,1938,North America,Mexico,Oaxaca,"Teotitlán del Camino, district of Teotitlán",18.1191016,-97.1042685,18.2528,HUH,7-Jul,"Richard Evans Schultes, Blas, Pablo Reko",106,,
141,1,16.782,mainland,,,,,1898,North America,Mexico,Michoacán or Guerrero,"""Canal, Delta du Rio Bahas""",23.5540767,-102.6205,18.2521,HUH,5-May,,141,"Can't find location, coordiantes for Mexico for now",
141,2,19.91,mainland,,,,,1898,North America,Mexico,Michoacán or Guerrero,"""Canal, Delta du Rio Bahas""",23.5540767,-102.6205,18.2521,HUH,5-May,,141,"Can't find location, coordiantes for Mexico for now",
200,1,19.761,island,The Revillagigedo Islands,,no,,1993,North America,Mexico,Colima,Socoro Island,18.7928152,-110.9815097,18.2528,HUH,24-May,F. E Barkelew,200,,
200,2,21.962,island,The Revillagigedo Islands,,no,,1993,North America,Mexico,Colima,Socoro Island,18.7928152,-110.9815097,18.2528,HUH,24-May,F. E Barkelew,200,,
200,3,7.862,island,The Revillagigedo Islands,,no,,1993,North America,Mexico,Colima,Socoro Island,18.7928152,-110.9815097,18.2528,HUH,24-May,F. E Barkelew,200,,seems recently emerged from bud
454,1,15.506,mainland,,,,,1894,North America,Mexico,Guerrero ,Acapulco,16.8354604,-99.8623086,18.2523,HUH,Oct,Dr. Edward Palmer,454,,
454,2,14.238,mainland,,,,,1894,North America,Mexico,Guerrero ,Acapulco,16.8354604,-99.8623086,18.2523,HUH,Oct,Dr. Edward Palmer,454,,
454,3,14.027,mainland,,,,,1894,North America,Mexico,Guerrero ,Acapulco,16.8354604,-99.8623086,18.2523,HUH,Oct,Dr. Edward Palmer,454,,single petal 
474,1,14.837,mainland,,,,,1940,North America,Mexico,Michoacán,On bank of Rio Apatzingán 2 miles S of Apatzingán,19.088949,-102.3488565,18.2528,HUH,6-Aug,WM.C Leavenworth,474,Coordinates for Apatzingán,
474,2,15.906,mainland,,,,,1940,North America,Mexico,Michoacán,On bank of Rio Apatzingán 2 miles S of Apatzingán,19.088949,-102.3488565,18.2528,HUH,6-Aug,WM.C Leavenworth,474,Coordinates for Apatzingán,
474,3,19.22,mainland,,,,,1940,North America,Mexico,Michoacán,On bank of Rio Apatzingán 2 miles S of Apatzingán,19.088949,-102.3488565,18.2528,HUH,6-Aug,WM.C Leavenworth,474,Coordinates for Apatzingán,
493,1,19.467,mainland,,,,,1985,North America,Mexico,Oaxaca,Soledad Etla,17.1693956,-96.8241583,18.2586,HUH,5-Jun,Rev. Lucius C. Smith,493,,
493,2,19.405,mainland,,,,,1985,North America,Mexico,Oaxaca,Soledad Etla,17.1693956,-96.8241583,18.2586,HUH,5-Jun,Rev. Lucius C. Smith,493,,
