ind_num,ID,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,leaf_num,leaf_length,number_of_leaflets,country,province_state,location,latitude,longitude,scale,herbarium,date,collector,collection.no,coordinate.notes,measurer_note,leaf_length_log,leaf_length_sqr
201,304,1966,North America,island,other,NA,NA,NA,1,14.414,14,Jamaica,NA,Kingston,18.0179363,-76.8006563,18.2528,HUH,23-Jan,James. W Walker,304,NA,NA,2.668199957,3.796577406
202,304,1966,North America,island,other,NA,NA,NA,2,12.9,14,Jamaica,NA,Kingston,18.0179363,-76.8006563,18.2528,HUH,23-Jan,James. W Walker,304,NA,leaf at first node,2.557227311,3.591656999
203,304,1966,North America,island,other,NA,NA,NA,3,12.689,14,Jamaica,NA,Kingston,18.0179363,-76.8006563,18.2528,HUH,23-Jan,James. W Walker,304,NA,NA,2.540735476,3.562162265
204,953,1963,North America,island,other,NA,NA,NA,1,18.841,NA,Jamaica,Kingston,"University college of the West Indies campus, Mona, Kingston",18.0123433,-76.7480947,18.2528,HUH,2-Aug,L. Wynter,NA,NA,can't count all leaflets,2.936035346,4.340622075
205,953,1963,North America,island,other,NA,NA,NA,2,43.652,10,Jamaica,Kingston,"University college of the West Indies campus, Mona, Kingston",18.0123433,-76.7480947,18.2528,HUH,2-Aug,L. Wynter,NA,NA,NA,3.7762491,6.606966021
206,953,1963,North America,island,other,NA,NA,NA,3,23.748,18,Jamaica,Kingston,"University college of the West Indies campus, Mona, Kingston",18.0123433,-76.7480947,18.2528,HUH,2-Aug,L. Wynter,NA,NA,NA,3.167498316,4.873191972
207,954,1963,North America,island,other,NA,NA,NA,1,21.126,11,Jamaica,St. Andrew,Road to Port Royal at round-about at Palisadoes airport,17.9375649,-76.7789935,18.2528,HUH,2-Aug,Duncan M. Porter,954,Coordinates for airport,looks like top of leaf may have been cut,3.050504509,4.596302862
208,954,1963,North America,island,other,NA,NA,NA,2,23.688,16,Jamaica,St. Andrew,Road to Port Royal at round-about at Palisadoes airport,17.9375649,-76.7789935,18.2528,HUH,2-Aug,Duncan M. Porter,954,Coordinates for airport,leaf at first node,3.164968591,4.86703195
209,954,1963,North America,island,other,NA,NA,NA,3,28.243,12,Jamaica,St. Andrew,Road to Port Royal at round-about at Palisadoes airport,17.9375649,-76.7789935,18.2528,HUH,2-Aug,Duncan M. Porter,954,Coordinates for airport,NA,3.340845639,5.314414361
210,968,1963,North America,island,other,NA,NA,NA,1,28.622,NA,Jamaica,St. Andrew,"End of Wycliffe Close, Long Mountain, trialing on limestone outcrop.",18.010011,-76.767014,18.2528,HUH,5-Aug,Duncan M. Porter,NA,NA,leaf at first node,3.354175653,5.349953271
211,968,1963,North America,island,other,NA,NA,NA,2,23.82,13,Jamaica,St. Andrew,"End of Wycliffe Close, Long Mountain, trialing on limestone outcrop.",18.010011,-76.767014,18.2528,HUH,5-Aug,Duncan M. Porter,NA,NA,NA,3.170525564,4.880573737
212,1024,1963,North America,island,other,NA,NA,NA,1,17.375,10,Jamaica,St. Catherine,Spanish Town road at turn off to Caymanas Park,17.9907399,-76.87642,18.2528,HUH,11-Aug,Duncan M. Porter,1024,Caymanas Park,leaf at first node,2.855032391,4.168333
213,1028,1963,North America,island,other,NA,NA,NA,1,31.618,13,Jamaica,St. Catherine,Green Bay: growing in doorway of abandoned house on the beach,17.932815,-76.8762122,18.2528,HUH,11-Aug,Duncan M. Porter,NA,Coordinates for Dream Beach (beach adjacent to Green Bay),leaf at first node,3.453726579,5.622988529
214,1028,1963,North America,island,other,NA,NA,NA,2,13.355,NA,Jamaica,St. Catherine,Green Bay: growing in doorway of abandoned house on the beach,17.932815,-76.8762122,18.2528,HUH,11-Aug,Duncan M. Porter,NA,Coordinates for Dream Beach (beach adjacent to Green Bay),can't count all leaflets,2.591890847,3.654449343
215,1033,1963,North America,island,other,NA,NA,NA,1,22.648,15,Jamaica,St. Catherine,Growing in middle of the road between Fort Clarence and Port Henderson,17.9081451,-76.8869731,18.2528,HUH,11-Aug,Duncan M. Porter,NA,Coordiantes for Fort Clarence (Port Henderson is a body of water),NA,3.120071548,4.75899149
216,1037,1963,North America,island,other,NA,NA,NA,1,14.387,12,Jamaica,St. Andrew,"Grounds of St. Benedict's school, E of Harbour View. Prostrate at edge of driveway.",17.95009,-76.706902,18.2528,HUH,13-Aug,Duncan M. Porter,1037,NA,NA,2.666325021,3.793019905
217,1040,1963,North America,island,other,Jamaica,NA,NA,1,40.252,14,Jamaica,Claredon,Claredon Parish: roadside at edge of sugarcane plantings half way between Amity Hall and Portland Cottage,NA,NA,18.2528,HUH,14-Aug,Duncan M. Porter,NA,Coordinates for Kaya Pos di Amor,NA,3.695159692,6.34444639
218,1040,1963,North America,island,other,Jamaica,NA,NA,2,22.828,16,Jamaica,Claredon,Claredon Parish: roadside at edge of sugarcane plantings half way between Amity Hall and Portland Cottage,NA,NA,18.2528,HUH,14-Aug,Duncan M. Porter,NA,Coordinates for Kaya Pos di Amor,leaf at first node,3.127987853,4.777865632
219,11967,1915,North America,island,other,Jamaica,NA,NA,1,29.101,14,Jamaica,Kingston,"Along roadsides and in open places, near Kingston",18.0179363,-76.8006563,18.2528,HUH,5-Jan,W.M Harris,11967,NA,NA,3.370772538,5.394534271
220,11967,1915,North America,island,other,Jamaica,NA,NA,2,31.063,15,Jamaica,Kingston,"Along roadsides and in open places, near Kingston",18.0179363,-76.8006563,18.2528,HUH,5-Jan,W.M Harris,11967,NA,NA,3.4360174,5.573419058
221,11967,1915,North America,island,other,Jamaica,NA,NA,3,23.964,12,Jamaica,Kingston,"Along roadsides and in open places, near Kingston",18.0179363,-76.8006563,18.2528,HUH,5-Jan,W.M Harris,11967,NA,NA,3.176552704,4.895303872
222,38561,1968,North America,island,other,NA,NA,NA,1,32.67,12,Jamaica,St. Thomas,"Grant's Pass, St.Thomas Parish",17.9671245,-76.4226875,18.2528,HUH,25-Jun,"Fred A. Barkley, Guy R. Beuthillette",38651,"Can't find anywhere in Jamaica called Grant's pass, so coordinates are just for the parish. There's a Grants Pen?",NA,3.486457226,5.715767665
223,38561,1968,North America,island,other,NA,NA,NA,2,46.107,16,Jamaica,St. Thomas,"Grant's Pass, St.Thomas Parish",17.9671245,-76.4226875,18.2528,HUH,25-Jun,"Fred A. Barkley, Guy R. Beuthillette",38651,"Can't find anywhere in Jamaica called Grant's pass, so coordinates are just for the parish. There's a Grants Pen?",leaf at first node,3.830964782,6.790213546
224,38561,1968,North America,island,other,NA,NA,NA,3,47.31,16,Jamaica,St. Thomas,"Grant's Pass, St.Thomas Parish",17.9671245,-76.4226875,18.2528,HUH,25-Jun,"Fred A. Barkley, Guy R. Beuthillette",38651,"Can't find anywhere in Jamaica called Grant's pass, so coordinates are just for the parish. There's a Grants Pen?",NA,3.85672169,6.878226516
225,349332,1900,North America,island,other,Jamaica,NA,NA,1,27.949,14,Jamaica,Kingston,NA,18.025287,-76.79685,21.2551,Smithsonian,29 Jan 1900 to 4 Feb 1900,"Clute, W. N.",30,NA,1 leaf down the flower,3.330381421,5.286681379
226,349332,1900,North America,island,other,Jamaica,NA,NA,2,24.926,14,Jamaica,Kingston,NA,18.025287,-76.79685,21.2551,Smithsonian,29 Jan 1900 to 4 Feb 1900,"Clute, W. N.",30,NA,1 leaf down the flower,3.215911435,4.992594516
227,965925,1900,North America,island,other,Jamaica,NA,NA,1,43.647,16,Jamaica,Kingston,NA,18.025287,-76.79685,21.2513,Smithsonian,29 Jan 1900 to 4 Feb 1900,"Clute, W. N.",4716,NA,1 leaf down the flower,3.776134551,6.606587621
228,965925,1900,North America,island,other,Jamaica,NA,NA,2,16.427,14,Jamaica,Kingston,NA,18.025287,-76.79685,21.2513,Smithsonian,29 Jan 1900 to 4 Feb 1900,"Clute, W. N.",4716,NA,NA,2.798926323,4.053023563
229,1045104,1916,North America,island,other,Jamaica,NA,NA,1,35.315,14,Jamaica,Kingston,NA,18.025287,-76.79685,21.2513,Smithsonian,2-Mar-16,"Killip, E. P.",338,NA,NA,3.564307803,5.94264251
230,1045104,1916,North America,island,other,Jamaica,NA,NA,2,29.642,14,Jamaica,Kingston,NA,18.025287,-76.79685,21.2513,Smithsonian,2-Mar-16,"Killip, E. P.",338,NA,NA,3.389192275,5.444446712
231,1380056,1881,North America,island,other,Jamaica,NA,NA,1,21.957,14,Jamaica,Kingston,an weg- saudern,18.025287,-76.79685,21.2513,Smithsonian,Jul 1881,"Lehmann, F. C.",713,NA,NA,3.089085995,4.685829702
232,1380056,1881,North America,island,other,Jamaica,NA,NA,2,31.967,14,Jamaica,Kingston,an weg- saudern,18.025287,-76.79685,21.2513,Smithsonian,Jul 1881,"Lehmann, F. C.",713,NA,NA,3.464704121,5.653936682
233,2351654,1959,North America,island,other,Jamaica,NA,NA,1,25.302,16,Jamaica,Kingston,"abundant, creeping on sand near airport, Palisadoes",17.944489,-76.7522,21.2513,Smithsonian,14-Jun-59,"Ellis, J.; Miller, K.",8235,NA,NA,3.230883444,5.030109343
234,2351654,1959,North America,island,other,Jamaica,NA,NA,2,20.995,16,Jamaica,Kingston,"abundant, creeping on sand near airport, Palisadoes",17.944489,-76.7522,21.2513,Smithsonian,14-Jun-59,"Ellis, J.; Miller, K.",8235,NA,1 leaf down the flower,3.044284314,4.582030118
235,09.17.26 89,1897,North America,island,other,NA,NA,NA,1,25.146,16,Jamaica,Kingston,Kingston (capital),18.0179363,-76.8006563,18.2528,HUH,10-Mar,J. R Churchill,NA,NA,NA,3.224698838,5.014578746
236,09.17.26 89,1897,North America,island,other,NA,NA,NA,2,20.951,16,Jamaica,Kingston,Kingston (capital),18.0179363,-76.8006563,18.2528,HUH,10-Mar,J. R Churchill,NA,NA,leaf at third node,3.042186378,4.577226234
237,09.17.26 89,1897,North America,island,other,NA,NA,NA,3,16.781,16,Jamaica,Kingston,Kingston (capital),18.0179363,-76.8006563,18.2528,HUH,10-Mar,J. R Churchill,NA,NA,leaf at first node,2.820247294,4.096461888
238,09.20.52 127,NA,North America,island,other,NA,NA,NA,1,23.395,14,Jamaica,Kingston,Kingston (city),18.0179363,-76.8006563,18.2528,HUH,NA,NA,NA,NA,NA,3.152522324,4.83683781
239,09.20.52 127,NA,North America,island,other,NA,NA,NA,2,25.221,14,Jamaica,Kingston,Kingston (city),18.0179363,-76.8006563,18.2528,HUH,NA,NA,NA,NA,"leaft at first node, no other leaves",3.227676981,5.022051374
240,09.21.16 132,NA,North America,island,other,NA,NA,NA,1,12.715,NA,Jamaica,Kingston,Kingston (city),18.0179363,-76.8006563,18.2528,HUH,NA,Nathaniel Thayer Kidder,NA,NA,can't count all leaflets,2.542782399,3.565809866
241,09.21.16 132,NA,North America,island,other,NA,NA,NA,2,16.844,NA,Jamaica,Kingston,Kingston (city),18.0179363,-76.8006563,18.2528,HUH,NA,Nathaniel Thayer Kidder,NA,NA,can't count all leaflets,2.82399451,4.104144247
242,09.21.16 132,NA,North America,island,other,NA,NA,NA,3,15.414,16,Jamaica,Kingston,Kingston (city),18.0179363,-76.8006563,18.2528,HUH,NA,Nathaniel Thayer Kidder,NA,NA,NA,2.735276187,3.926066734
243,68A,1963,North America,island,other,NA,NA,NA,1,26.754,14,Jamaica,Kingston,"In lawns and weedy areas, University of West Indies campus",18.0123433,-76.7480947,18.2528,HUH,5-Jun,"M.R Crosby, W.R Anderson, H.A Hespenheide",68A,NA,NA,3.286683995,5.172426897
244,68A,1963,North America,island,other,NA,NA,NA,2,24.446,14,Jamaica,Kingston,"In lawns and weedy areas, University of West Indies campus",18.0123433,-76.7480947,18.2528,HUH,5-Jun,"M.R Crosby, W.R Anderson, H.A Hespenheide",68A,NA,NA,3.196466603,4.944289636
245,68A,1963,North America,island,other,NA,NA,NA,3,20.901,12,Jamaica,Kingston,"In lawns and weedy areas, University of West Indies campus",18.0123433,-76.7480947,18.2528,HUH,5-Jun,"M.R Crosby, W.R Anderson, H.A Hespenheide",68A,NA,NA,3.039797005,4.571761149
246,849725,1877,North America,island,other,Martinique,NA,NA,1,27.524,12,Martinique,NA,NA,14.671124,-61.022058,21.2535,Smithsonian,1877,"Duss, Père A.",1815,NA,NA,3.315058351,5.246332052
247,849725,1877,North America,island,other,Martinique,NA,NA,2,25.087,12,Martinique,NA,NA,14.671124,-61.022058,21.2535,Smithsonian,1877,"Duss, Père A.",1815,NA,NA,3.222349784,5.008692444
248,44,1888,North America,mainland,NA,NA,NA,NA,1,13.919,10,Mexico,Oaxaca,NA,NA,NA,18.2571,HUH,NA,Ed. Seler,44,NA,NA,2.633254813,3.730817605
249,44,1888,North America,mainland,NA,NA,NA,NA,2,13.028,12,Mexico,Oaxaca,NA,NA,NA,18.2571,HUH,NA,Ed. Seler,44,NA,NA,2.567100887,3.609432088
250,44,1888,North America,mainland,NA,NA,NA,NA,3,16.588,12,Mexico,Oaxaca,NA,NA,NA,18.2571,HUH,NA,Ed. Seler,44,NA,NA,2.808679542,4.072836849
251,66,1998,North America,mainland,NA,NA,NA,NA,1,15.598,10,Mexico,Oaxaca,Tehuantepec,16.3206389,-95.2401905,18.2533,HUH,23-Dec,C. Dean,66,NA,NA,2.747142701,3.949430339
252,66,1998,North America,mainland,NA,NA,NA,NA,2,10.51,10,Mexico,Oaxaca,Tehuantepec,16.3206389,-95.2401905,18.2533,HUH,23-Dec,C. Dean,66,NA,NA,2.352327185,3.241913015
253,66,1998,North America,mainland,NA,NA,NA,NA,3,16.058,12,Mexico,Oaxaca,Tehuantepec,16.3206389,-95.2401905,18.2533,HUH,23-Dec,C. Dean,66,NA,NA,2.776207168,4.007243442
254,106,1938,North America,mainland,NA,NA,NA,NA,1,44.627,10,Mexico,Oaxaca,"Teotitlán del Camino, district of Teotitlán",18.1191016,-97.1042685,18.2528,HUH,7-Jul,"Richard Evans Schultes, Blas, Pablo Reko",106,NA,NA,3.798339057,6.680344303
255,141,1898,North America,mainland,NA,NA,NA,NA,1,32.958,12,Mexico,Michoacán or Guerrero,"""Canal, Delta du Rio Bahas""",23.5540767,-102.6205,18.2521,HUH,5-May,NA,141,"Can't find location, coordiantes for Mexico for now",leaf at first node,3.495234024,5.740905852
256,141,1898,North America,mainland,NA,NA,NA,NA,2,30.78,12,Mexico,Michoacán or Guerrero,"""Canal, Delta du Rio Bahas""",23.5540767,-102.6205,18.2521,HUH,5-May,NA,141,"Can't find location, coordiantes for Mexico for now",NA,3.426865128,5.547972603
257,200,1993,North America,island,other,The Revillagigedo Islands,NA,NA,1,35.908,16,Mexico,Colima,Socoro Island,18.7928152,-110.9815097,18.2528,HUH,24-May,F. E Barkelew,200,NA,NA,3.580960112,5.992328429
258,200,1993,North America,island,other,The Revillagigedo Islands,NA,NA,2,32.088,16,Mexico,Colima,Socoro Island,18.7928152,-110.9815097,18.2528,HUH,24-May,F. E Barkelew,200,NA,NA,3.468482128,5.664627084
259,200,1993,North America,island,other,The Revillagigedo Islands,NA,NA,3,41.615,16,Mexico,Colima,Socoro Island,18.7928152,-110.9815097,18.2528,HUH,24-May,F. E Barkelew,200,NA,NA,3.728460679,6.450968919
260,454,1894,North America,mainland,NA,NA,NA,NA,1,15.762,12,Mexico,Guerrero ,Acapulco,16.8354604,-99.8623086,18.2523,HUH,Oct,Dr. Edward Palmer,454,NA,NA,2.75760198,3.970138537
261,454,1894,North America,mainland,NA,NA,NA,NA,2,27.144,12,Mexico,Guerrero ,Acapulco,16.8354604,-99.8623086,18.2523,HUH,Oct,Dr. Edward Palmer,454,NA,NA,3.301156027,5.209990403
262,454,1894,North America,mainland,NA,NA,NA,NA,3,19.382,12,Mexico,Guerrero ,Acapulco,16.8354604,-99.8623086,18.2523,HUH,Oct,Dr. Edward Palmer,454,NA,NA,2.9643448,4.40249929
263,474,1940,North America,mainland,NA,NA,NA,NA,1,14.619,9,Mexico,Michoacán,On bank of Rio Apatzingán 2 miles S of Apatzingán,19.088949,-102.3488565,18.2528,HUH,6-Aug,WM.C Leavenworth,474,Coordinates for Apatzingán,NA,2.682322053,3.82348009
264,474,1940,North America,mainland,NA,NA,NA,NA,2,47.43,12,Mexico,Michoacán,On bank of Rio Apatzingán 2 miles S of Apatzingán,19.088949,-102.3488565,18.2528,HUH,6-Aug,WM.C Leavenworth,474,Coordinates for Apatzingán,NA,3.85925494,6.88694417
265,474,1940,North America,mainland,NA,NA,NA,NA,3,47.735,12,Mexico,Michoacán,On bank of Rio Apatzingán 2 miles S of Apatzingán,19.088949,-102.3488565,18.2528,HUH,6-Aug,WM.C Leavenworth,474,Coordinates for Apatzingán,NA,3.865664881,6.909052033
266,493,1985,North America,mainland,NA,NA,NA,NA,1,21.475,10,Mexico,Oaxaca,Soledad Etla,17.1693956,-96.8241583,18.2586,HUH,5-Jun,Rev. Lucius C. Smith,493,NA,NA,3.066889468,4.634112644
267,493,1985,North America,mainland,NA,NA,NA,NA,2,34.41,12,Mexico,Oaxaca,Soledad Etla,17.1693956,-96.8241583,18.2586,HUH,5-Jun,Rev. Lucius C. Smith,493,NA,NA,3.53834722,5.86600375
268,493,1985,North America,mainland,NA,NA,NA,NA,3,26.778,11,Mexico,Oaxaca,Soledad Etla,17.1693956,-96.8241583,18.2586,HUH,5-Jun,Rev. Lucius C. Smith,493,NA,NA,3.287580655,5.174746371
269,497,1940,North America,mainland,NA,NA,NA,NA,1,59.919,14,Mexico,Michoacán,1 mile S of Apatzingán,19.088949,-102.3488565,18.2524,HUH,6-Aug,WM.C Leavenworth,497,Coordinates for Apatzingán,"unsure of where flower was attached to stem, measuring close leaf",4.09299365,7.740736399
270,520,1895,North America,mainland,NA,NA,NA,NA,1,19.159,9,Mexico,Yucatan,No specified location,21.082487,-89.9297226,18.2528,HUH,NA,G.F Gaumer,520,Coordinates for state,NA,2.952772579,4.377099496
271,520,1895,North America,mainland,NA,NA,NA,NA,2,43.594,14,Mexico,Yucatan,No specified location,21.082487,-89.9297226,18.2528,HUH,NA,G.F Gaumer,520,Coordinates for state,NA,3.774919526,6.602575255
272,782,NA,North America,mainland,NA,NA,NA,NA,1,15.299,14,Mexico,NA,NA,23.5540767,-102.6205,18.2528,HUH,NA,Collegii S.S. Trin,782,No specified location,leaf at first node,2.727787467,3.911393614
273,978,NA,North America,mainland,NA,NA,NA,NA,1,14.255,12,Mexico,Veracruz,Orizaba,18.859091,-97.0967663,18.2528,HUH,NA,Botteri,978,NA,NA,2.657107722,3.775579426
274,978,NA,North America,mainland,NA,NA,NA,NA,2,25.372,12,Mexico,Veracruz,Orizaba,18.859091,-97.0967663,18.2528,HUH,NA,Botteri,978,NA,NA,3.233646204,5.037062636
275,978,NA,North America,mainland,NA,NA,NA,NA,3,16.804,12,Mexico,Veracruz,Orizaba,18.859091,-97.0967663,18.2528,HUH,NA,Botteri,978,NA,NA,2.821616953,4.099268227
276,1258,1901,North America,mainland,NA,NA,NA,NA,1,30.833,12,Mexico,Oaxaca,NA,17.1634283,-96.210067,18.2598,HUH,Aug,"C. Conzatti, V. Gonzalez",1258,"Cannot find specific location of ""El Margnesaclo"", coordinates for state for now","leaf at third node, difficult to see stem end",3.428585545,5.552747068
277,1258,1901,North America,mainland,NA,NA,NA,NA,2,28.613,12,Mexico,Oaxaca,NA,17.1634283,-96.210067,18.2598,HUH,Aug,"C. Conzatti, V. Gonzalez",1258,"Cannot find specific location of ""El Margnesaclo"", coordinates for state for now",NA,3.35386116,5.349112076
278,1258,1901,North America,mainland,NA,NA,NA,NA,3,24.973,12,Mexico,Oaxaca,NA,17.1634283,-96.210067,18.2598,HUH,Aug,"C. Conzatti, V. Gonzalez",1258,"Cannot find specific location of ""El Margnesaclo"", coordinates for state for now",NA,3.217795241,4.997299271
279,1318,1963,North America,mainland,NA,NA,NA,NA,1,21.517,NA,Mexico,Guerrero ,Upper part of canon del Zopilote between Kms 229 and 230 on Mexico City- Acapulco toll road,17.933333,-99.6,18.2528,HUH,13-Dec,Duncan M. Porter,1318,"Not sure how to gauge location for this given it’s a toll road with specific km checkpoints and ""canon del Zopilote"" is variable (coordinates for Canon del Zopilte but has few locations locations in google earth)",can't count all leaflets,3.06884332,4.638642043
280,1343,1963,North America,mainland,NA,NA,NA,NA,1,10.073,6,Mexico,Guerrero,"Acapulco: in sidewalk on main drive along beaches, near entrance to city",16.8354604,-99.8623086,18.2528,HUH,15-Dec,Duncan M. Porter,NA,Coordinates for Acapulco,NA,2.309858577,3.173798985
281,1370,1963,North America,mainland,NA,NA,NA,NA,1,17.596,12,Mexico,Guerrero,Flat alluvial plain 27 miles W of Arcelia toward Ciudad Alta-mirano,18.2538076,-100.1942349,18.2528,HUH,20-Dec,Duncan M. Porter,NA,Coordinates for Arcelia,NA,2.867671603,4.194758634
282,1370,1963,North America,mainland,NA,NA,NA,NA,2,22.281,12,Mexico,Guerrero,Flat alluvial plain 27 miles W of Arcelia toward Ciudad Alta-mirano,18.2538076,-100.1942349,18.2528,HUH,20-Dec,Duncan M. Porter,NA,Coordinates for Arcelia,"can't measure leaflet, no full ones, been fed on by insects",3.103734297,4.720275416
283,1419,1963,North America,mainland,NA,NA,NA,NA,1,38.854,14,Mexico,Michoacán,Roadside on winding highway in large barranca 6 miles SW of Lombardia (Gabriel Zamora) toward Nueva Italia,19.1545434,-101.9994778,18.2528,HUH,26-Dec,Duncan M. Porter,1419,Coordinates for Gabriel Zamora,leaf at first node,3.659811032,6.233297683
284,1419,1963,North America,mainland,NA,NA,NA,NA,2,33.962,14,Mexico,Michoacán,Roadside on winding highway in large barranca 6 miles SW of Lombardia (Gabriel Zamora) toward Nueva Italia,19.1545434,-101.9994778,18.2528,HUH,26-Dec,Duncan M. Porter,1419,Coordinates for Gabriel Zamora,leaf at first node,3.525242253,5.827692511
285,1419,1963,North America,mainland,NA,NA,NA,NA,3,8.642,4,Mexico,Michoacán,Roadside on winding highway in large barranca 6 miles SW of Lombardia (Gabriel Zamora) toward Nueva Italia,19.1545434,-101.9994778,18.2528,HUH,26-Dec,Duncan M. Porter,1419,Coordinates for Gabriel Zamora,"leaf at first node- very small compared to surrounding leaves (not very representative,), but no leaf at second or third node",2.156634038,2.939727879
287,1423,1963,North America,mainland,NA,NA,NA,NA,2,28.639,14,Mexico,Michoacán,Common at entrance to Apatzingan of highway from Cuatro Caminos,19.079323,-102.355487,18.2528,HUH,26-Dec,Duncan M. Porter,1423,Estimated coordiantes for road turn off,NA,3.354769425,5.351541834
288,1428,1963,North America,mainland,NA,NA,NA,NA,1,21.728,11,Mexico,Michoacán,5 miles W of Apatzingán toward Aguililla,19.088949,-102.3488565,18.2528,HUH,26-Dec,Duncan M. Porter,NA,Coordinates for Apatzingán,NA,3.078601751,4.661330282
289,1428,1963,North America,mainland,NA,NA,NA,NA,3,26.667,11,Mexico,Michoacán,5 miles W of Apatzingán toward Aguililla,19.088949,-102.3488565,18.2528,HUH,26-Dec,Duncan M. Porter,NA,Coordinates for Apatzingán,leaf at first node,3.283426846,5.16401007
290,1432,1963,North America,mainland,NA,NA,NA,NA,1,19.095,14,Mexico,Michoacán,Roadside in foothills 13 miles S of Cuatro Caminos toward Arteaga,19.3988547,-101.6427286,18.2528,HUH,26-Dec,Duncan M. Porter,1432,Coordiantes for Cuatro Caminos,NA,2.949426521,4.369782603
291,1432,1963,North America,mainland,NA,NA,NA,NA,2,36.197,14,Mexico,Michoacán,Roadside in foothills 13 miles S of Cuatro Caminos toward Arteaga,19.3988547,-101.6427286,18.2528,HUH,26-Dec,Duncan M. Porter,1432,Coordiantes for Cuatro Caminos,NA,3.588976242,6.016394269
292,1442,1963,North America,mainland,NA,NA,NA,NA,1,12.874,12,Mexico,Morelos,In dry grass at roadside 1 mile NW of Zacatepec toward Alpuyeca,18.6560985,-99.1898094,18.2528,HUH,31-Dec,Duncan M. Porter,1442,Coordinates for Zapatepec,leaf at first node,2.555209774,3.588035674
293,1442,1963,North America,mainland,NA,NA,NA,NA,2,11.179,11,Mexico,Morelos,In dry grass at roadside 1 mile NW of Zacatepec toward Alpuyeca,18.6560985,-99.1898094,18.2528,HUH,31-Dec,Duncan M. Porter,1442,Coordinates for Zapatepec,NA,2.414037018,3.343501159
294,1442,1963,North America,mainland,NA,NA,NA,NA,3,10.283,10,Mexico,Morelos,In dry grass at roadside 1 mile NW of Zacatepec toward Alpuyeca,18.6560985,-99.1898094,18.2528,HUH,31-Dec,Duncan M. Porter,1442,Coordinates for Zapatepec,NA,2.330492046,3.206711711
295,1444,1963,North America,mainland,NA,NA,NA,NA,1,15.513,14,Mexico,Morelos,Edge of highway in suagrcane plantation 5km NW of Zacatepec toward Cuautla,18.6560985,-99.1898094,18.2528,HUH,31-Dec,Duncan M. Porter,NA,Coordinates for Zapatepec,leaf at third node,2.741678382,3.938654593
296,1444,1963,North America,mainland,NA,NA,NA,NA,2,15.513,14,Mexico,Morelos,Edge of highway in suagrcane plantation 5km NW of Zacatepec toward Cuautla,18.6560985,-99.1898094,18.2528,HUH,31-Dec,Duncan M. Porter,NA,Coordinates for Zapatepec,same leaf as above,2.741678382,3.938654593
297,1448,1964,North America,mainland,NA,NA,NA,NA,1,12.232,9,Mexico,Puebla,"Edge of highway, 5 miles NW of Tehuacán toward Puebla",18.4621943,-97.4087138,18.2528,HUH,1-Jan,Duncan M. Porter,NA,Coordiantes for Tehuacán,NA,2.504055469,3.497427626
298,1453,1964,North America,mainland,NA,NA,NA,NA,1,13.997,12,Mexico,Oaxaca,"Huajuapan de Leon, common along highway",17.8046948,-97.7826979,18.2528,HUH,2-Jan,Duncan M. Porter,NA,NA,leaf at first node,2.638843021,3.741256473
299,1453,1964,North America,mainland,NA,NA,NA,NA,2,13.256,12,Mexico,Oaxaca,"Huajuapan de Leon, common along highway",17.8046948,-97.7826979,18.2528,HUH,2-Jan,Duncan M. Porter,NA,NA,leaf at first node,2.58445028,3.640879015
300,1455,1964,North America,mainland,NA,NA,NA,NA,1,10.918,12,Mexico,Puebla,"In dry, closedly cropped grass at edge of highway 1 mile NW of Amatitlan toward Izucar de Matamoros",20.8344905,-103.7312721,18.2528,HUH,2-Jan,Duncan M. Porter,NA,NA,NA,2.390412803,3.304239701
301,1455,1964,North America,mainland,NA,NA,NA,NA,2,10.354,10,Mexico,Puebla,"In dry, closedly cropped grass at edge of highway 1 mile NW of Amatitlan toward Izucar de Matamoros",20.8344905,-103.7312721,18.2528,HUH,2-Jan,Duncan M. Porter,NA,NA,NA,2.337372918,3.217763198
302,1455,1964,North America,mainland,NA,NA,NA,NA,3,12.062,12,Mexico,Puebla,"In dry, closedly cropped grass at edge of highway 1 mile NW of Amatitlan toward Izucar de Matamoros",20.8344905,-103.7312721,18.2528,HUH,2-Jan,Duncan M. Porter,NA,NA,NA,2.490060015,3.473039015
303,1458,1964,North America,mainland,NA,NA,NA,NA,1,13.736,12,Mexico,Puebla,"Common in fine sandy fill at roadside next to railroad track opposite fields of sugarcane, 1 mile east of the Puebla-Morelos border on road between Axochiapan, Morelos, Antencingo, Puebla",18.48166,-98.676431,18.2528,HUH,2-Jan,Duncan M. Porter,NA,Coordinates estimated based on location description,NA,2.620020124,3.706211003
304,1458,1964,North America,mainland,NA,NA,NA,NA,2,14.48,12,Mexico,Puebla,"Common in fine sandy fill at roadside next to railroad track opposite fields of sugarcane, 1 mile east of the Puebla-Morelos border on road between Axochiapan, Morelos, Antencingo, Puebla",18.48166,-98.676431,18.2528,HUH,2-Jan,Duncan M. Porter,NA,Coordinates estimated based on location description,leaf at third node,2.672768387,3.805259518
