ind_num,ID,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,leaf_num,leaflet_length,number_of_leaflets,country,province_state,location,latitude,longitude,scale,herbarium,date,collector,collection.no,coordinate.notes,measurer_note,leaflet_length_log,leaflet_length_sqr
219,11967,1915,North America,island,other,Jamaica,NA,NA,1,8.166,14,Jamaica,Kingston,"Along roadsides and in open places, near Kingston",18.0179363,-76.8006563,18.2528,HUH,5-Jan,W.M Harris,11967,NA,NA,2.099979193,2.857621388
220,11967,1915,North America,island,other,Jamaica,NA,NA,2,9.143,15,Jamaica,Kingston,"Along roadsides and in open places, near Kingston",18.0179363,-76.8006563,18.2528,HUH,5-Jan,W.M Harris,11967,NA,NA,2.212988559,3.023739407
221,11967,1915,North America,island,other,Jamaica,NA,NA,3,6.724,12,Jamaica,Kingston,"Along roadsides and in open places, near Kingston",18.0179363,-76.8006563,18.2528,HUH,5-Jan,W.M Harris,11967,NA,NA,1.905683216,2.593067681
222,38561,1968,North America,island,other,NA,NA,NA,1,8.265,12,Jamaica,St. Thomas,"Grant's Pass, St.Thomas Parish",17.9671245,-76.4226875,18.2528,HUH,25-Jun,"Fred A. Barkley, Guy R. Beuthillette",38651,"Can't find anywhere in Jamaica called Grant's pass, so coordinates are just for the parish. There's a Grants Pen?",NA,2.112029731,2.874891302
223,38561,1968,North America,island,other,NA,NA,NA,2,10.643,16,Jamaica,St. Thomas,"Grant's Pass, St.Thomas Parish",17.9671245,-76.4226875,18.2528,HUH,25-Jun,"Fred A. Barkley, Guy R. Beuthillette",38651,"Can't find anywhere in Jamaica called Grant's pass, so coordinates are just for the parish. There's a Grants Pen?",leaf at first node,2.364902399,3.262361108
224,38561,1968,North America,island,other,NA,NA,NA,3,9.077,16,Jamaica,St. Thomas,"Grant's Pass, St.Thomas Parish",17.9671245,-76.4226875,18.2528,HUH,25-Jun,"Fred A. Barkley, Guy R. Beuthillette",38651,"Can't find anywhere in Jamaica called Grant's pass, so coordinates are just for the parish. There's a Grants Pen?",NA,2.205743742,3.012806001
225,349332,1900,North America,island,other,Jamaica,NA,NA,1,8.033,14,Jamaica,Kingston,NA,18.025287,-76.79685,21.2551,Smithsonian,29 Jan 1900 to 4 Feb 1900,"Clute, W. N.",30,NA,1 leaf down the flower,2.083558057,2.834254752
226,349332,1900,North America,island,other,Jamaica,NA,NA,2,7.011,14,Jamaica,Kingston,NA,18.025287,-76.79685,21.2551,Smithsonian,29 Jan 1900 to 4 Feb 1900,"Clute, W. N.",30,NA,1 leaf down the flower,1.947480344,2.6478293
227,965925,1900,North America,island,other,Jamaica,NA,NA,1,10.423,16,Jamaica,Kingston,NA,18.025287,-76.79685,21.2513,Smithsonian,29 Jan 1900 to 4 Feb 1900,"Clute, W. N.",4716,NA,1 leaf down the flower,2.344014903,3.228467129
228,965925,1900,North America,island,other,Jamaica,NA,NA,2,4.512,14,Jamaica,Kingston,NA,18.025287,-76.79685,21.2513,Smithsonian,29 Jan 1900 to 4 Feb 1900,"Clute, W. N.",4716,NA,NA,1.506740514,2.124146888
229,1045104,1916,North America,island,other,Jamaica,NA,NA,1,10.58,14,Jamaica,Kingston,NA,18.025287,-76.79685,21.2513,Smithsonian,2-Mar-16,"Killip, E. P.",338,NA,NA,2.358965426,3.252691193
230,1045104,1916,North America,island,other,Jamaica,NA,NA,2,8.37,14,Jamaica,Kingston,NA,18.025287,-76.79685,21.2513,Smithsonian,2-Mar-16,"Killip, E. P.",338,NA,NA,2.124653885,2.893095228
231,1380056,1881,North America,island,other,Jamaica,NA,NA,1,7.258,14,Jamaica,Kingston,an weg- saudern,18.025287,-76.79685,21.2513,Smithsonian,Jul 1881,"Lehmann, F. C.",713,NA,NA,1.982104309,2.694067557
232,1380056,1881,North America,island,other,Jamaica,NA,NA,2,7.973,14,Jamaica,Kingston,an weg- saudern,18.025287,-76.79685,21.2513,Smithsonian,Jul 1881,"Lehmann, F. C.",713,NA,NA,2.076060834,2.82365012
233,2351654,1959,North America,island,other,Jamaica,NA,NA,1,6.968,16,Jamaica,Kingston,"abundant, creeping on sand near airport, Palisadoes",17.944489,-76.7522,21.2513,Smithsonian,14-Jun-59,"Ellis, J.; Miller, K.",8235,NA,NA,1.94132824,2.639696952
234,2351654,1959,North America,island,other,Jamaica,NA,NA,2,5.213,16,Jamaica,Kingston,"abundant, creeping on sand near airport, Palisadoes",17.944489,-76.7522,21.2513,Smithsonian,14-Jun-59,"Ellis, J.; Miller, K.",8235,NA,1 leaf down the flower,1.651155506,2.283199509
235,09.17.26 89,1897,North America,island,other,NA,NA,NA,1,6.346,16,Jamaica,Kingston,Kingston (capital),18.0179363,-76.8006563,18.2528,HUH,10-Mar,J. R Churchill,NA,NA,NA,1.847824693,2.519126833
236,09.17.26 89,1897,North America,island,other,NA,NA,NA,2,4.724,16,Jamaica,Kingston,Kingston (capital),18.0179363,-76.8006563,18.2528,HUH,10-Mar,J. R Churchill,NA,NA,leaf at third node,1.552655898,2.173476478
237,09.17.26 89,1897,North America,island,other,NA,NA,NA,3,4.322,16,Jamaica,Kingston,Kingston (capital),18.0179363,-76.8006563,18.2528,HUH,10-Mar,J. R Churchill,NA,NA,leaf at first node,1.463718258,2.078942039
238,09.20.52 127,NA,North America,island,other,NA,NA,NA,1,7.02,14,Jamaica,Kingston,Kingston (city),18.0179363,-76.8006563,18.2528,HUH,NA,NA,NA,NA,NA,1.948763218,2.64952826
239,09.20.52 127,NA,North America,island,other,NA,NA,NA,2,7.581,14,Jamaica,Kingston,Kingston (city),18.0179363,-76.8006563,18.2528,HUH,NA,NA,NA,NA,"leaft at first node, no other leaves",2.025645117,2.753361582
240,09.21.16 132,NA,North America,island,other,NA,NA,NA,1,3.252,NA,Jamaica,Kingston,Kingston (city),18.0179363,-76.8006563,18.2528,HUH,NA,Nathaniel Thayer Kidder,NA,NA,can't count all leaflets,1.179270192,1.803330253
241,09.21.16 132,NA,North America,island,other,NA,NA,NA,2,4.877,NA,Jamaica,Kingston,Kingston (city),18.0179363,-76.8006563,18.2528,HUH,NA,Nathaniel Thayer Kidder,NA,NA,can't count all leaflets,1.584530277,2.208393081
242,09.21.16 132,NA,North America,island,other,NA,NA,NA,3,4.738,16,Jamaica,Kingston,Kingston (city),18.0179363,-76.8006563,18.2528,HUH,NA,Nathaniel Thayer Kidder,NA,NA,NA,1.555615106,2.176694742
243,68A,1963,North America,island,other,NA,NA,NA,1,7.636,14,Jamaica,Kingston,"In lawns and weedy areas, University of West Indies campus",18.0123433,-76.7480947,18.2528,HUH,5-Jun,"M.R Crosby, W.R Anderson, H.A Hespenheide",68A,NA,NA,2.032873906,2.763331323
244,68A,1963,North America,island,other,NA,NA,NA,2,5.281,14,Jamaica,Kingston,"In lawns and weedy areas, University of West Indies campus",18.0123433,-76.7480947,18.2528,HUH,5-Jun,"M.R Crosby, W.R Anderson, H.A Hespenheide",68A,NA,NA,1.664115474,2.298042645
245,68A,1963,North America,island,other,NA,NA,NA,3,6.017,12,Jamaica,Kingston,"In lawns and weedy areas, University of West Indies campus",18.0123433,-76.7480947,18.2528,HUH,5-Jun,"M.R Crosby, W.R Anderson, H.A Hespenheide",68A,NA,NA,1.794588796,2.452957399
246,849725,1877,North America,island,other,Martinique,NA,NA,1,8.691,12,Martinique,NA,NA,14.671124,-61.022058,21.2535,Smithsonian,1877,"Duss, Père A.",1815,NA,NA,2.162288007,2.948050203
247,849725,1877,North America,island,other,Martinique,NA,NA,2,9.175,12,Martinique,NA,NA,14.671124,-61.022058,21.2535,Smithsonian,1877,"Duss, Père A.",1815,NA,NA,2.216482394,3.029026246
248,44,1888,North America,mainland,NA,NA,NA,NA,1,5.766,10,Mexico,Oaxaca,NA,NA,NA,18.2571,HUH,NA,Ed. Seler,44,NA,NA,1.751978599,2.401249675
249,44,1888,North America,mainland,NA,NA,NA,NA,2,4.858,12,Mexico,Oaxaca,NA,NA,NA,18.2571,HUH,NA,Ed. Seler,44,NA,NA,1.580626831,2.204087113
250,44,1888,North America,mainland,NA,NA,NA,NA,3,5.859,12,Mexico,Oaxaca,NA,NA,NA,18.2571,HUH,NA,Ed. Seler,44,NA,NA,1.767978941,2.42053713
251,66,1998,North America,mainland,NA,NA,NA,NA,1,5.705,10,Mexico,Oaxaca,Tehuantepec,16.3206389,-95.2401905,18.2533,HUH,23-Dec,C. Dean,66,NA,NA,1.741342983,2.388514182
252,66,1998,North America,mainland,NA,NA,NA,NA,2,4.726,10,Mexico,Oaxaca,Tehuantepec,16.3206389,-95.2401905,18.2533,HUH,23-Dec,C. Dean,66,NA,NA,1.553079179,2.173936522
253,66,1998,North America,mainland,NA,NA,NA,NA,3,4.777,12,Mexico,Oaxaca,Tehuantepec,16.3206389,-95.2401905,18.2533,HUH,23-Dec,C. Dean,66,NA,NA,1.563812734,2.185634919
254,106,1938,North America,mainland,NA,NA,NA,NA,1,11.95,10,Mexico,Oaxaca,"Teotitlán del Camino, district of Teotitlán",18.1191016,-97.1042685,18.2528,HUH,7-Jul,"Richard Evans Schultes, Blas, Pablo Reko",106,NA,NA,2.480731278,3.456877203
255,141,1898,North America,mainland,NA,NA,NA,NA,1,9.867,12,Mexico,Michoacán or Guerrero,"""Canal, Delta du Rio Bahas""",23.5540767,-102.6205,18.2521,HUH,5-May,NA,141,"Can't find location, coordiantes for Mexico for now",leaf at first node,2.289195856,3.141178123
256,141,1898,North America,mainland,NA,NA,NA,NA,2,11.108,12,Mexico,Michoacán or Guerrero,"""Canal, Delta du Rio Bahas""",23.5540767,-102.6205,18.2521,HUH,5-May,NA,141,"Can't find location, coordiantes for Mexico for now",NA,2.407665569,3.332866634
257,200,1993,North America,island,other,The Revillagigedo Islands,NA,NA,1,8.569,16,Mexico,Colima,Socoro Island,18.7928152,-110.9815097,18.2528,HUH,24-May,F. E Barkelew,200,NA,NA,2.14815104,2.927285432
258,200,1993,North America,island,other,The Revillagigedo Islands,NA,NA,2,9.452,16,Mexico,Colima,Socoro Island,18.7928152,-110.9815097,18.2528,HUH,24-May,F. E Barkelew,200,NA,NA,2.246226359,3.074410513
259,200,1993,North America,island,other,The Revillagigedo Islands,NA,NA,3,11.663,16,Mexico,Colima,Socoro Island,18.7928152,-110.9815097,18.2528,HUH,24-May,F. E Barkelew,200,NA,NA,2.456421438,3.415113468
260,454,1894,North America,mainland,NA,NA,NA,NA,1,5.611,12,Mexico,Guerrero ,Acapulco,16.8354604,-99.8623086,18.2523,HUH,Oct,Dr. Edward Palmer,454,NA,NA,1.724728957,2.368754947
261,454,1894,North America,mainland,NA,NA,NA,NA,2,8.19,12,Mexico,Guerrero ,Acapulco,16.8354604,-99.8623086,18.2523,HUH,Oct,Dr. Edward Palmer,454,NA,NA,2.102913898,2.861817604
262,454,1894,North America,mainland,NA,NA,NA,NA,3,6.885,12,Mexico,Guerrero ,Acapulco,16.8354604,-99.8623086,18.2523,HUH,Oct,Dr. Edward Palmer,454,NA,NA,1.929345132,2.623928353
263,474,1940,North America,mainland,NA,NA,NA,NA,1,5.184,9,Mexico,Michoacán,On bank of Rio Apatzingán 2 miles S of Apatzingán,19.088949,-102.3488565,18.2528,HUH,6-Aug,WM.C Leavenworth,474,Coordinates for Apatzingán,NA,1.645576959,2.276839915
264,474,1940,North America,mainland,NA,NA,NA,NA,2,11.659,12,Mexico,Michoacán,On bank of Rio Apatzingán 2 miles S of Apatzingán,19.088949,-102.3488565,18.2528,HUH,6-Aug,WM.C Leavenworth,474,Coordinates for Apatzingán,NA,2.456078414,3.414527786
265,474,1940,North America,mainland,NA,NA,NA,NA,3,11.375,12,Mexico,Michoacán,On bank of Rio Apatzingán 2 miles S of Apatzingán,19.088949,-102.3488565,18.2528,HUH,6-Aug,WM.C Leavenworth,474,Coordinates for Apatzingán,NA,2.431417965,3.372684391
266,493,1985,North America,mainland,NA,NA,NA,NA,1,6.811,10,Mexico,Oaxaca,Soledad Etla,17.1693956,-96.8241583,18.2586,HUH,5-Jun,Rev. Lucius C. Smith,493,NA,NA,1.918538952,2.609789264
267,493,1985,North America,mainland,NA,NA,NA,NA,2,9.815,12,Mexico,Oaxaca,Soledad Etla,17.1693956,-96.8241583,18.2586,HUH,5-Jun,Rev. Lucius C. Smith,493,NA,NA,2.283911828,3.13289004
268,493,1985,North America,mainland,NA,NA,NA,NA,3,7.474,11,Mexico,Oaxaca,Soledad Etla,17.1693956,-96.8241583,18.2586,HUH,5-Jun,Rev. Lucius C. Smith,493,NA,NA,2.011430331,2.733861738
269,497,1940,North America,mainland,NA,NA,NA,NA,1,10.2,14,Mexico,Michoacán,1 mile S of Apatzingán,19.088949,-102.3488565,18.2524,HUH,6-Aug,WM.C Leavenworth,497,Coordinates for Apatzingán,"unsure of where flower was attached to stem, measuring close leaf",2.32238772,3.193743885
270,520,1895,North America,mainland,NA,NA,NA,NA,1,8.594,9,Mexico,Yucatan,No specified location,21.082487,-89.9297226,18.2528,HUH,NA,G.F Gaumer,520,Coordinates for state,NA,2.151064285,2.93155249
271,520,1895,North America,mainland,NA,NA,NA,NA,2,12.995,14,Mexico,Yucatan,No specified location,21.082487,-89.9297226,18.2528,HUH,NA,G.F Gaumer,520,Coordinates for state,NA,2.564564668,3.604857834
272,782,NA,North America,mainland,NA,NA,NA,NA,1,4.827,14,Mexico,NA,NA,23.5540767,-102.6205,18.2528,HUH,NA,Collegii S.S. Trin,782,No specified location,leaf at first node,1.574225157,2.197043468
273,978,NA,North America,mainland,NA,NA,NA,NA,1,4.984,12,Mexico,Veracruz,Orizaba,18.859091,-97.0967663,18.2528,HUH,NA,Botteri,978,NA,NA,1.606232781,2.232487402
274,978,NA,North America,mainland,NA,NA,NA,NA,2,9.555,12,Mexico,Veracruz,Orizaba,18.859091,-97.0967663,18.2528,HUH,NA,Botteri,978,NA,NA,2.257064578,3.091116303
275,978,NA,North America,mainland,NA,NA,NA,NA,3,5.373,12,Mexico,Veracruz,Orizaba,18.859091,-97.0967663,18.2528,HUH,NA,Botteri,978,NA,NA,1.681386412,2.317973253
276,1258,1901,North America,mainland,NA,NA,NA,NA,1,10.034,12,Mexico,Oaxaca,NA,17.1634283,-96.210067,18.2598,HUH,Aug,"C. Conzatti, V. Gonzalez",1258,"Cannot find specific location of ""El Margnesaclo"", coordinates for state for now","leaf at third node, difficult to see stem end",2.305979326,3.16764897
277,1258,1901,North America,mainland,NA,NA,NA,NA,2,10.045,12,Mexico,Oaxaca,NA,17.1634283,-96.210067,18.2598,HUH,Aug,"C. Conzatti, V. Gonzalez",1258,"Cannot find specific location of ""El Margnesaclo"", coordinates for state for now",NA,2.307074998,3.169384798
278,1258,1901,North America,mainland,NA,NA,NA,NA,3,7.853,12,Mexico,Oaxaca,NA,17.1634283,-96.210067,18.2598,HUH,Aug,"C. Conzatti, V. Gonzalez",1258,"Cannot find specific location of ""El Margnesaclo"", coordinates for state for now",NA,2.060895624,2.802320467
279,1318,1963,North America,mainland,NA,NA,NA,NA,1,5.429,NA,Mexico,Guerrero ,Upper part of canon del Zopilote between Kms 229 and 230 on Mexico City- Acapulco toll road,17.933333,-99.6,18.2528,HUH,13-Dec,Duncan M. Porter,1318,"Not sure how to gauge location for this given it’s a toll road with specific km checkpoints and ""canon del Zopilote"" is variable (coordinates for Canon del Zopilte but has few locations locations in google earth)",can't count all leaflets,1.691754955,2.330021459
280,1343,1963,North America,mainland,NA,NA,NA,NA,1,5.738,6,Mexico,Guerrero,"Acapulco: in sidewalk on main drive along beaches, near entrance to city",16.8354604,-99.8623086,18.2528,HUH,15-Dec,Duncan M. Porter,NA,Coordinates for Acapulco,NA,1.747110718,2.395412282
281,1370,1963,North America,mainland,NA,NA,NA,NA,1,6.716,12,Mexico,Guerrero,Flat alluvial plain 27 miles W of Arcelia toward Ciudad Alta-mirano,18.2538076,-100.1942349,18.2528,HUH,20-Dec,Duncan M. Porter,NA,Coordinates for Arcelia,NA,1.904492739,2.591524648
283,1419,1963,North America,mainland,NA,NA,NA,NA,1,11.725,14,Mexico,Michoacán,Roadside on winding highway in large barranca 6 miles SW of Lombardia (Gabriel Zamora) toward Nueva Italia,19.1545434,-101.9994778,18.2528,HUH,26-Dec,Duncan M. Porter,1419,Coordinates for Gabriel Zamora,leaf at first node,2.461723314,3.424178734
284,1419,1963,North America,mainland,NA,NA,NA,NA,2,9.289,14,Mexico,Michoacán,Roadside on winding highway in large barranca 6 miles SW of Lombardia (Gabriel Zamora) toward Nueva Italia,19.1545434,-101.9994778,18.2528,HUH,26-Dec,Duncan M. Porter,1419,Coordinates for Gabriel Zamora,leaf at first node,2.228830904,3.047786082
285,1419,1963,North America,mainland,NA,NA,NA,NA,3,4.731,4,Mexico,Michoacán,Roadside on winding highway in large barranca 6 miles SW of Lombardia (Gabriel Zamora) toward Nueva Italia,19.1545434,-101.9994778,18.2528,HUH,26-Dec,Duncan M. Porter,1419,Coordinates for Gabriel Zamora,"leaf at first node- very small compared to surrounding leaves (not very representative,), but no leaf at second or third node",1.554136597,2.175086205
286,1423,1963,North America,mainland,NA,NA,NA,NA,1,8.458,13,Mexico,Michoacán,Common at entrance to Apatzingan of highway from Cuatro Caminos,19.079323,-102.355487,18.2528,HUH,26-Dec,Duncan M. Porter,1423,Estimated coordiantes for road turn off,"leaf at first node, can't see stem end",2.135112739,2.908264087
287,1423,1963,North America,mainland,NA,NA,NA,NA,2,8.713,14,Mexico,Michoacán,Common at entrance to Apatzingan of highway from Cuatro Caminos,19.079323,-102.355487,18.2528,HUH,26-Dec,Duncan M. Porter,1423,Estimated coordiantes for road turn off,NA,2.164816163,2.951779125
288,1428,1963,North America,mainland,NA,NA,NA,NA,1,6.544,11,Mexico,Michoacán,5 miles W of Apatzingán toward Aguililla,19.088949,-102.3488565,18.2528,HUH,26-Dec,Duncan M. Porter,NA,Coordinates for Apatzingán,NA,1.878548599,2.558124313
289,1428,1963,North America,mainland,NA,NA,NA,NA,3,9.436,11,Mexico,Michoacán,5 miles W of Apatzingán toward Aguililla,19.088949,-102.3488565,18.2528,HUH,26-Dec,Duncan M. Porter,NA,Coordinates for Apatzingán,leaf at first node,2.244532162,3.071807286
290,1432,1963,North America,mainland,NA,NA,NA,NA,1,5.338,14,Mexico,Michoacán,Roadside in foothills 13 miles S of Cuatro Caminos toward Arteaga,19.3988547,-101.6427286,18.2528,HUH,26-Dec,Duncan M. Porter,1432,Coordiantes for Cuatro Caminos,NA,1.674851051,2.310411219
291,1432,1963,North America,mainland,NA,NA,NA,NA,2,9.383,14,Mexico,Michoacán,Roadside in foothills 13 miles S of Cuatro Caminos toward Arteaga,19.3988547,-101.6427286,18.2528,HUH,26-Dec,Duncan M. Porter,1432,Coordiantes for Cuatro Caminos,NA,2.238899541,3.063168294
292,1442,1963,North America,mainland,NA,NA,NA,NA,1,4.765,12,Mexico,Morelos,In dry grass at roadside 1 mile NW of Zacatepec toward Alpuyeca,18.6560985,-99.1898094,18.2528,HUH,31-Dec,Duncan M. Porter,1442,Coordinates for Zapatepec,leaf at first node,1.561297537,2.182887995
293,1442,1963,North America,mainland,NA,NA,NA,NA,2,4.605,11,Mexico,Morelos,In dry grass at roadside 1 mile NW of Zacatepec toward Alpuyeca,18.6560985,-99.1898094,18.2528,HUH,31-Dec,Duncan M. Porter,1442,Coordinates for Zapatepec,NA,1.52714267,2.145926373
294,1442,1963,North America,mainland,NA,NA,NA,NA,3,3.216,10,Mexico,Morelos,In dry grass at roadside 1 mile NW of Zacatepec toward Alpuyeca,18.6560985,-99.1898094,18.2528,HUH,31-Dec,Duncan M. Porter,1442,Coordinates for Zapatepec,NA,1.168138351,1.793320942
295,1444,1963,North America,mainland,NA,NA,NA,NA,1,6.563,14,Mexico,Morelos,Edge of highway in suagrcane plantation 5km NW of Zacatepec toward Cuautla,18.6560985,-99.1898094,18.2528,HUH,31-Dec,Duncan M. Porter,NA,Coordinates for Zapatepec,leaf at third node,1.881447815,2.56183528
296,1444,1963,North America,mainland,NA,NA,NA,NA,2,6.563,14,Mexico,Morelos,Edge of highway in suagrcane plantation 5km NW of Zacatepec toward Cuautla,18.6560985,-99.1898094,18.2528,HUH,31-Dec,Duncan M. Porter,NA,Coordinates for Zapatepec,same leaf as above,1.881447815,2.56183528
297,1448,1964,North America,mainland,NA,NA,NA,NA,1,3.807,9,Mexico,Puebla,"Edge of highway, 5 miles NW of Tehuacán toward Puebla",18.4621943,-97.4087138,18.2528,HUH,1-Jan,Duncan M. Porter,NA,Coordiantes for Tehuacán,NA,1.336841477,1.951153505
298,1453,1964,North America,mainland,NA,NA,NA,NA,1,5.569,12,Mexico,Oaxaca,"Huajuapan de Leon, common along highway",17.8046948,-97.7826979,18.2528,HUH,2-Jan,Duncan M. Porter,NA,NA,leaf at first node,1.717215505,2.359872878
299,1453,1964,North America,mainland,NA,NA,NA,NA,2,4.43,12,Mexico,Oaxaca,"Huajuapan de Leon, common along highway",17.8046948,-97.7826979,18.2528,HUH,2-Jan,Duncan M. Porter,NA,NA,leaf at first node,1.488399584,2.104756518
300,1455,1964,North America,mainland,NA,NA,NA,NA,1,4.288,12,Mexico,Puebla,"In dry, closedly cropped grass at edge of highway 1 mile NW of Amatitlan toward Izucar de Matamoros",20.8344905,-103.7312721,18.2528,HUH,2-Jan,Duncan M. Porter,NA,NA,NA,1.455820424,2.070748657
301,1455,1964,North America,mainland,NA,NA,NA,NA,2,4.448,10,Mexico,Puebla,"In dry, closedly cropped grass at edge of highway 1 mile NW of Amatitlan toward Izucar de Matamoros",20.8344905,-103.7312721,18.2528,HUH,2-Jan,Duncan M. Porter,NA,NA,NA,1.492454557,2.109028212
302,1455,1964,North America,mainland,NA,NA,NA,NA,3,5.721,12,Mexico,Puebla,"In dry, closedly cropped grass at edge of highway 1 mile NW of Amatitlan toward Izucar de Matamoros",20.8344905,-103.7312721,18.2528,HUH,2-Jan,Duncan M. Porter,NA,NA,NA,1.744143615,2.3918612
303,1458,1964,North America,mainland,NA,NA,NA,NA,1,5.076,12,Mexico,Puebla,"Common in fine sandy fill at roadside next to railroad track opposite fields of sugarcane, 1 mile east of the Puebla-Morelos border on road between Axochiapan, Morelos, Antencingo, Puebla",18.48166,-98.676431,18.2528,HUH,2-Jan,Duncan M. Porter,NA,Coordinates estimated based on location description,NA,1.62452355,2.252998003
304,1458,1964,North America,mainland,NA,NA,NA,NA,2,5.653,12,Mexico,Puebla,"Common in fine sandy fill at roadside next to railroad track opposite fields of sugarcane, 1 mile east of the Puebla-Morelos border on road between Axochiapan, Morelos, Antencingo, Puebla",18.48166,-98.676431,18.2528,HUH,2-Jan,Duncan M. Porter,NA,Coordinates estimated based on location description,leaf at third node,1.732186378,2.377603836
305,1459,1964,North America,mainland,NA,NA,NA,NA,1,3.923,10,Mexico,Morelos,North side of Yautepec at edge of highway toward Cuernavaca,18.8833439,-99.0623631,18.2528,HUH,2-Jan,Duncan M. Porter,NA,Coordinates for Yautepec,Leaf at third node,1.366856667,1.980656457
306,1459,1964,North America,mainland,NA,NA,NA,NA,2,3.906,10,Mexico,Morelos,North side of Yautepec at edge of highway toward Cuernavaca,18.8833439,-99.0623631,18.2528,HUH,2-Jan,Duncan M. Porter,NA,Coordinates for Yautepec,can't see stem (on any leaves from nodes 1-3),1.362513832,1.976360291
307,1460,1964,North America,mainland,NA,NA,NA,NA,1,6.99,16,Mexico,Veracruz,"In sand dunes above beach N of of port, Vera Cruz. Forming thick mats under grass in Casuarina sp.",19.1787668,-96.1763162,18.2528,HUH,5-Jan,Duncan M. Porter,1460,"Doesn't specify which beach, so coordiantes only for city/port",NA,1.944480556,2.643860813
308,1467,1964,North America,mainland,NA,NA,NA,NA,1,8.194,8,Mexico,Veracruz,"Weed in vacant lot near beach, Vera Cruz",19.1787668,-96.1763162,18.225,HUH,5-Jan,Duncan M. Porter,1467,"Doesn't specify which beach, so coordiantes only for city/port",NA,2.103402179,2.862516375
309,1470,1964,North America,mainland,NA,NA,NA,NA,1,3.838,12,Mexico,Oaxaca,"Edge of highway at immigration checkpoint, Juchitán",16.440146,-95.0178851,18.2594,HUH,7-Jan,Duncan M. Porter,1470,Coordinates for Juchitán,leaf at first node,1.344951398,1.959081417
310,1470,1964,North America,mainland,NA,NA,NA,NA,2,4.427,8,Mexico,Oaxaca,"Edge of highway at immigration checkpoint, Juchitán",16.440146,-95.0178851,18.2594,HUH,7-Jan,Duncan M. Porter,1470,Coordinates for Juchitán,leaf at third node,1.487722154,2.104043726
311,1474,1964,North America,mainland,NA,NA,NA,NA,1,5.707,12,Mexico,Oaxaca,"In coarse sand near railroad track back of beach near port, Salina Cruz",16.1965239,-95.196783,18.2532,HUH,8-Jan,Duncan M. Porter,1474,"Coordinates for Salina Cruz, beach not specified","leaves are completed bundled, so leaf chosen at random (but close to flower)",1.741693492,2.388932816
312,1474,1964,North America,mainland,NA,NA,NA,NA,2,5.559,8,Mexico,Oaxaca,"In coarse sand near railroad track back of beach near port, Salina Cruz",16.1965239,-95.196783,18.2528,HUH,8-Jan,Duncan M. Porter,1474,"Coordinates for Salina Cruz, beach not specified","leaves are completed bundled, so leaf chosen at random (but close to flower)",1.715418236,2.357753168
313,1479,1964,North America,mainland,NA,NA,NA,NA,1,5.542,10,Mexico,Colima,Roadside at turnoff to Colima on Guadalajara-Manzanillo highway,19.263903,-103.682567,18.2528,HUH,12-Jan,Duncan M. Porter,NA,Estimated coordiantes for road turn off,leaf at first node,1.712355446,2.35414528
314,1479,1964,North America,mainland,NA,NA,NA,NA,2,8.062,12,Mexico,Colima,Roadside at turnoff to Colima on Guadalajara-Manzanillo highway,19.263903,-103.682567,18.2528,HUH,12-Jan,Duncan M. Porter,NA,Estimated coordiantes for road turn off,NA,2.087161665,2.839366126
315,1483,1954,North America,mainland,NA,NA,NA,NA,1,9.155,12,Mexico,Colima,Common in fine silt at roadside 5km W of Tecoman on Manzanillo-Colima highway. Common between here and Manzanillo a the roadside and in cultivated fields on the coastal plain.,18.9141441,-103.8775731,18.2528,HUH,13-Jan,Duncan M. Porter,1483,Coordiantes for Tecoman,leaf at first node,2.214300178,3.025723054
316,1483,1954,North America,mainland,NA,NA,NA,NA,2,9.611,12,Mexico,Colima,Common in fine silt at roadside 5km W of Tecoman on Manzanillo-Colima highway. Common between here and Manzanillo a the roadside and in cultivated fields on the coastal plain.,18.9141441,-103.8775731,18.2528,HUH,13-Jan,Duncan M. Porter,1483,Coordiantes for Tecoman,NA,2.262908276,3.100161286
317,1492,1964,North America,mainland,NA,NA,NA,NA,1,4.328,NA,Mexico,Baja California Sur,"Silty sand at edge of highway, west edge of La Paz",19.0557899,-98.2262617,18.2528,HUH,18-Jan,Duncan M. Porter,NA,Coordinates for La Paz,can't count all leaflets,1.465105542,2.08038458
318,1492,1964,North America,mainland,NA,NA,NA,NA,2,4.239,10,Mexico,Baja California Sur,"Silty sand at edge of highway, west edge of La Paz",19.0557899,-98.2262617,18.2528,HUH,18-Jan,Duncan M. Porter,NA,Coordinates for La Paz,NA,1.444327392,2.058883192
319,1492,1964,North America,mainland,NA,NA,NA,NA,3,9.242,13,Mexico,Baja California Sur,"Silty sand at edge of highway, west edge of La Paz",19.0557899,-98.2262617,18.2528,HUH,18-Jan,Duncan M. Porter,NA,Coordinates for La Paz,NA,2.223758312,3.040065789
320,1554,1925,North America,island,other,The Revillagigedo Islands,NA,NA,1,8.496,18,Mexico,Colima,"Abundant near beach and on sea-cliffes, Clarion Island",18.3557053,-114.720332,18.2528,HUH,26-Apr,Herbert L. Mason,1554,NA,leaf at first node,2.139595464,2.914789872
